38
0,0,204,337
204,0,208,337
412,0,215,337
627,0,205,337
832,0,187,337
1019,0,191,337
1210,0,204,337
1414,0,235,337
1649,0,253,337
1902,0,271,337
2173,0,245,337
2418,0,269,337
2687,0,238,337
2925,0,209,337
3134,0,203,337
3337,0,202,337
3529,0,219,337
3758,0,235,337
3993,0,227,337
4220,0,211,337
4431,0,226,337
4657,0,235,337
4892,0,229,337
5121,0,196,337
5317,0,198,337
5515,0,212,337
5727,0,215,337
5942,0,231,337
6173,0,243,337
6416,0,237,337
6653,0,220,337
6873,0,200,337
7073,0,197,337
7270,0,190,337
7460,0,203,337
7663,0,222,337
7885,0,223,337
8108,0,213,337
